date,count,fatal,injury
20120701,651,0,113
20120702,698,0,134
20120703,803,0,139
20120704,542,0,110
20120705,690,0,99
20120706,767,0,129
20120707,596,0,106
20120708,561,0,97
20120709,649,0,116
20120710,639,0,115
20120711,680,0,115
20120712,691,0,114
20120713,720,0,117
20120714,651,0,115
20120715,586,0,92
20120716,639,0,111
20120717,778,0,130
20120718,656,0,98
20120719,638,0,116
20120720,716,0,112
20120721,655,0,127
20120722,616,0,118
20120723,604,0,99
20120724,663,0,89
20120725,735,0,123
20120726,727,0,123
20120727,757,0,120
20120728,635,0,122
20120729,449,0,73
20120730,636,0,106
20120731,639,0,99
20120801,712,0,97
20120802,683,0,113
20120803,696,0,107
20120804,682,0,115
20120805,639,0,121
20120806,708,0,115
20120807,650,0,103
20120808,632,0,104
20120809,703,0,122
20120810,734,0,117
20120811,609,0,102
20120812,610,0,105
20120813,616,0,112
20120814,622,0,102
20120815,720,0,118
20120816,730,0,117
20120817,702,0,128
20120818,650,0,110
20120819,569,0,102
20120820,573,0,100
20120821,569,0,87
20120822,605,0,101
20120823,700,0,126
20120824,716,0,115
20120825,579,0,105
20120826,575,0,104
20120827,664,0,116
20120828,701,0,114
20120829,645,0,95
20120830,753,0,135
20120831,852,0,151
20120901,618,0,103
20120902,522,0,101
20120903,455,0,82
20120904,739,0,132
20120905,716,0,115
20120906,673,0,101
20120907,819,0,139
20120908,731,0,133
20120909,563,0,99
20120910,772,0,135
20120911,626,0,105
20120912,771,0,120
20120913,753,0,121
20120914,728,0,119
20120915,664,0,107
20120916,543,0,85
20120917,543,0,91
20120918,688,0,132
20120919,731,0,119
20120920,618,0,96
20120921,788,0,134
20120922,669,0,122
20120923,582,0,102
20120924,679,0,117
20120925,727,0,134
20120926,488,0,84
20120927,746,0,126
20120928,842,0,139
20120929,582,0,97
20120930,535,0,86
20121001,671,0,116
20121002,734,0,141
20121003,593,0,91
20121004,649,0,95
20121005,837,0,144
20121006,595,0,95
20121007,609,0,128
20121008,461,0,85
20121009,686,0,116
20121010,783,0,143
20121011,778,0,121
20121012,701,0,107
20121013,650,0,103
20121014,624,0,107
20121015,723,0,116
20121016,728,0,126
20121017,742,0,127
20121018,737,0,107
20121019,880,0,142
20121020,715,0,128
20121021,515,0,89
20121022,724,0,116
20121023,627,0,105
20121024,587,0,93
20121025,625,0,114
20121026,712,0,114
20121027,619,0,95
20121028,491,0,88
20121029,348,0,50
20121030,438,0,66
20121031,631,0,82
20121101,530,0,91
20121102,412,0,67
20121103,366,0,59
20121104,412,0,68
20121105,576,0,97
20121106,613,0,99
20121107,860,0,142
20121108,632,0,82
20121109,811,0,123
20121110,516,0,72
20121111,631,0,105
20121112,653,0,107
20121113,771,0,123
20121114,732,0,107
20121115,729,0,106
20121116,788,0,116
20121117,637,0,95
20121118,528,0,82
20121119,688,0,103
20121120,807,0,136
20121121,825,0,136
20121122,449,0,65
20121123,574,0,93
20121124,532,0,74
20121125,488,0,73
20121126,685,0,122
20121127,693,0,110
20121128,608,0,96
20121129,616,0,101
20121130,691,0,115
20121201,575,0,95
20121202,549,0,95
20121203,729,0,109
20121204,738,0,117
20121205,609,0,95
20121206,725,0,105
20121207,875,0,161
20121208,698,0,118
20121209,679,0,135
20121210,743,0,124
20121211,690,0,112
20121212,660,0,111
20121213,653,0,108
20121214,775,0,127
20121215,629,0,106
20121216,621,0,121
20121217,786,0,137
20121218,770,0,125
20121219,691,0,101
20121220,720,0,114
20121221,910,0,158
20121222,633,0,91
20121223,481,0,73
20121224,630,0,112
20121225,430,0,76
20121226,659,0,128
20121227,621,0,96
20121228,657,0,100
20121229,542,0,100
20121230,506,0,95
20121231,560,0,78
20130101,481,0,100
20130102,566,0,86
20130103,652,0,103
20130104,583,0,78
20130105,462,0,73
20130106,469,0,76
20130107,624,0,103
20130108,603,0,90
20130109,582,0,95
20130110,669,0,114
20130111,828,0,168
20130112,568,0,93
20130113,455,0,82
20130114,647,0,105
20130115,605,0,89
20130116,695,0,117
20130117,595,0,104
20130118,658,0,97
20130119,573,0,89
20130120,464,0,71
20130121,422,0,67
20130122,644,0,100
20130123,638,0,93
20130124,658,0,104
20130125,791,0,117
20130126,665,0,107
20130127,519,0,90
20130128,610,0,103
20130129,649,0,107
20130130,594,0,97
20130131,698,0,106
20130201,680,0,106
20130202,633,0,99
20130203,513,0,68
20130204,646,0,93
20130205,682,0,116
20130206,675,0,109
20130207,627,0,101
20130208,822,0,119
20130209,438,0,35
20130210,460,0,60
20130211,569,0,94
20130212,583,0,85
20130213,686,0,118
20130214,756,0,125
20130215,722,0,118
20130216,531,0,82
20130217,533,0,86
20130218,461,0,63
20130219,583,0,106
20130220,596,0,86
20130221,591,0,93
20130222,623,0,92
20130223,614,0,93
20130224,509,0,83
20130225,570,0,80
20130226,663,0,126
20130227,679,0,129
20130228,597,0,80
20130301,698,0,95
20130302,558,0,84
20130303,600,0,98
20130304,709,0,112
20130305,632,0,105
20130306,553,0,78
20130307,651,0,116
20130308,982,0,131
20130309,671,0,102
20130310,494,0,79
20130311,623,0,102
20130312,655,0,108
20130313,756,0,120
20130314,658,0,101
20130315,693,0,86
20130316,632,0,111
20130317,495,0,69
20130318,720,0,97
20130319,651,0,92
20130320,632,0,92
20130321,608,0,101
20130322,719,0,115
20130323,587,0,99
20130324,535,0,84
20130325,599,0,101
20130326,497,0,72
20130327,508,0,67
20130328,663,0,114
20130329,615,0,95
20130330,617,0,104
20130331,521,0,95
20130401,557,0,78
20130402,503,0,66
20130403,633,0,101
20130404,666,0,100
20130405,692,0,110
20130406,636,0,105
20130407,542,0,91
20130408,700,0,118
20130409,732,0,119
20130410,701,0,121
20130411,603,0,86
20130412,795,0,146
20130413,661,0,106
20130414,563,0,91
20130415,726,0,123
20130416,679,0,115
20130417,656,0,121
20130418,643,0,90
